cos_theta,r,g,b
0.07159805297851562,0.8655037195417256,0.8893457770514045,0.9121097394805514
0.07212162017822266,0.8648892567474562,0.8887714711510896,0.9115948705765728
0.0726470947265625,0.8642776671613713,0.8881985796658591,0.9110801824112463
0.07317447662353516,0.8636689873806023,0.8876271345073072,0.910565698043796
0.07370376586914062,0.8630632535777464,0.8870571674213131,0.9100514405380647
0.0742349624633789,0.862460501495136,0.8864887099833239,0.9095374329599758
0.07476806640625,0.8618607664392302,0.8859217935936564,0.9090236983749836
0.0753030776977539,0.8612640832751202,0.8853564494728378,0.9085102598455094
0.07583999633789062,0.8606704864211624,0.8847927086569704,0.9079971404283602
0.07637882232666016,0.8600800098437206,0.8842306019931359,0.9074843631721399
0.0769195556640625,0.8594926870520497,0.8836701601348275,0.9069719511146443
0.07746219635009766,0.8589085510932922,0.8831114135374253,0.9064599272802449
0.07800674438476562,0.8583276345476079,0.8825543924537039,0.9059483146772633
0.0785531997680664,0.8577499695234356,0.8819991269293816,0.9054371362953328
0.0791015625,0.8571755876528838,0.8814456467987098,0.9049264151027517
0.0796518325805664,0.8566045200872521,0.8808939816801071,0.9044161740438277
0.08020401000976562,0.8560367974926918,0.8803441609718328,0.9039064360362128
0.08075809478759766,0.8554724500459997,0.8797962138477096,0.9033972239682309
0.0813140869140625,0.8549115074305499,0.8792501692528911,0.9028885606961988
0.08187198638916016,0.8543539988323642,0.8787060558996792,0.9023804690417409
0.08243179321289062,0.8537999529363218,0.8781639022633891,0.9018729717890965
0.0829935073852539,0.8532493979225129,0.8776237365782672,0.9013660916824249
0.08355712890625,0.8527023614627288,0.8770855868334582,0.900859851423104
0.0841226577758789,0.852158870717098,0.8765494807690335,0.9003542736670265
0.08469009399414062,0.85161895233087,0.8760154458720651,0.8998493810218936
0.08525943756103516,0.8510826324313385,0.8754835093727608,0.8993451960445056
0.0858306884765625,0.850549936624908,0.8749536982406618,0.898841741238052
0.08640384674072266,0.8500208899943176,0.8744260391808878,0.8983390390494014
0.08697891235351562,0.8494955170959977,0.8739005586304539,0.8978371118663894
0.0875558853149414,0.848973841957585,0.8733772827546419,0.8973359820151109
0.088134765625,0.8484558880755797,0.8728562374434367,0.896835671757212
0.0887155532836914,0.847941678413153,0.8723374483080248,0.8963362032871837
0.08929824829101562,0.8474312353980993,0.8718209406773635,0.8958375987296598
